Sensor_ID,Date,Soil_Moisture(%),Soil_pH,Temperature(C),Humidity(%),Crop_Type,Fertilizer_Recommended(kg/ha),Irrigation_Recommended(mm),Drone_Image_ID
SEN-1000,2025-01-01,36.22,6.98,21.3,50.4,Tomatoes,67.6,26.6,IMG-2000
SEN-1001,2025-01-02,76.55,5.03,23.5,34.3,Wheat,130.4,8.3,IMG-2001
SEN-1002,2025-01-03,61.24,6.52,21.9,54.6,Tomatoes,36.0,29.4,IMG-2002
SEN-1003,2025-01-04,51.91,6.62,24.0,48.7,Maize,85.8,19.6,IMG-2003
SEN-1004,2025-01-05,20.92,5.98,19.2,70.6,Wheat,75.6,29.9,IMG-2004
SEN-1005,2025-01-06,20.92,7.08,26.8,66.3,Beans,68.0,27.8,IMG-2005
SEN-1006,2025-01-07,14.07,7.77,19.1,51.9,Maize,64.3,10.5,IMG-2006
SEN-1007,2025-01-08,70.63,7.74,31.6,43.1,Lettuce,41.0,6.4,IMG-2007
SEN-1008,2025-01-09,52.08,6.08,22.0,89.3,Tomatoes,67.8,11.4,IMG-2008
SEN-1009,2025-01-10,59.57,4.9,27.2,57.2,Maize,35.2,18.2,IMG-2009
SEN-1010,2025-01-11,11.44,7.95,33.0,71.3,Maize,123.7,9.3,IMG-2010
SEN-1011,2025-01-12,77.89,7.44,29.1,38.4,Wheat,77.8,9.2,IMG-2011
SEN-1012,2025-01-13,68.27,4.94,27.1,59.1,Wheat,83.3,16.6,IMG-2012
SEN-1013,2025-01-14,24.86,7.72,23.5,31.7,Wheat,137.2,5.8,IMG-2013
SEN-1014,2025-01-15,22.73,7.54,23.7,60.3,Lettuce,109.0,8.0,IMG-2014
SEN-1015,2025-01-16,22.84,6.32,29.4,87.8,Wheat,31.0,15.4,IMG-2015
SEN-1016,2025-01-17,31.3,6.57,34.9,53.1,Maize,143.2,6.6,IMG-2016
SEN-1017,2025-01-18,46.73,5.9,29.3,32.3,Wheat,58.5,14.9,IMG-2017
SEN-1018,2025-01-19,40.24,4.69,27.5,31.9,Beans,42.9,16.9,IMG-2018
SEN-1019,2025-01-20,30.39,5.67,30.4,53.3,Wheat,122.2,16.3,IMG-2019
SEN-1020,2025-01-21,52.83,7.31,25.9,39.6,Lettuce,90.1,26.7,IMG-2020
SEN-1021,2025-01-22,19.76,4.52,19.0,31.4,Beans,82.1,18.3,IMG-2021
SEN-1022,2025-01-23,30.45,5.67,27.6,75.4,Maize,59.9,16.7,IMG-2022
SEN-1023,2025-01-24,35.65,5.89,34.3,57.5,Maize,95.7,15.3,IMG-2023
SEN-1024,2025-01-25,41.92,6.38,21.0,47.4,Tomatoes,62.9,25.4,IMG-2024
SEN-1025,2025-01-26,64.96,7.72,29.7,84.0,Beans,138.2,27.4,IMG-2025
SEN-1026,2025-01-27,23.98,5.71,21.4,37.0,Tomatoes,55.8,26.3,IMG-2026
SEN-1027,2025-01-28,46.0,5.71,27.1,87.4,Beans,136.1,21.8,IMG-2027
SEN-1028,2025-01-29,51.47,7.08,19.6,48.8,Beans,97.1,8.4,IMG-2028
SEN-1029,2025-01-30,13.25,6.08,25.7,83.3,Lettuce,129.4,11.9,IMG-2029
SEN-1030,2025-01-31,52.53,5.29,30.9,66.2,Tomatoes,115.5,6.2,IMG-2030
SEN-1031,2025-02-01,21.94,6.08,23.9,79.6,Lettuce,113.6,28.3,IMG-2031
SEN-1032,2025-02-02,14.55,4.99,29.3,89.0,Beans,68.9,21.5,IMG-2032
SEN-1033,2025-02-03,76.42,5.12,31.5,47.3,Maize,58.1,23.7,IMG-2033
SEN-1034,2025-02-04,77.59,6.24,33.8,87.7,Beans,55.3,12.8,IMG-2034
SEN-1035,2025-02-05,66.59,5.97,22.0,53.4,Lettuce,132.9,26.1,IMG-2035
SEN-1036,2025-02-06,31.32,7.7,24.8,53.1,Tomatoes,128.5,11.5,IMG-2036
SEN-1037,2025-02-07,16.84,5.77,20.6,50.4,Tomatoes,82.9,5.0,IMG-2037
SEN-1038,2025-02-08,57.9,6.53,34.9,62.5,Lettuce,45.9,14.4,IMG-2038
SEN-1039,2025-02-09,40.81,6.71,33.8,39.2,Tomatoes,75.9,19.3,IMG-2039
SEN-1040,2025-02-10,18.54,4.55,27.2,63.2,Wheat,104.3,17.0,IMG-2040
SEN-1041,2025-02-11,44.66,6.82,32.3,62.5,Maize,84.5,26.6,IMG-2041
SEN-1042,2025-02-12,12.41,5.12,26.9,75.7,Maize,123.6,7.6,IMG-2042
SEN-1043,2025-02-13,73.65,7.86,28.6,80.0,Maize,149.7,18.8,IMG-2043
SEN-1044,2025-02-14,28.11,5.02,19.5,56.4,Tomatoes,52.9,17.8,IMG-2044
SEN-1045,2025-02-15,56.38,5.95,30.8,48.1,Tomatoes,85.2,12.0,IMG-2045
SEN-1046,2025-02-16,31.82,4.8,20.2,45.6,Beans,81.7,25.6,IMG-2046
SEN-1047,2025-02-17,46.4,7.99,32.0,41.7,Beans,66.5,23.8,IMG-2047
SEN-1048,2025-02-18,48.27,6.26,31.3,33.5,Maize,53.8,23.3,IMG-2048
SEN-1049,2025-02-19,22.94,6.58,30.0,50.5,Wheat,37.9,26.9,IMG-2049
SEN-1050,2025-02-20,77.87,4.73,18.6,46.2,Beans,136.5,23.1,IMG-2050
SEN-1051,2025-02-21,64.26,7.12,23.2,88.0,Beans,80.4,10.8,IMG-2051
SEN-1052,2025-02-22,75.76,5.23,22.5,63.5,Tomatoes,89.6,22.6,IMG-2052
SEN-1053,2025-02-23,72.64,7.64,24.1,50.8,Wheat,140.0,12.7,IMG-2053
SEN-1054,2025-02-24,51.85,5.22,19.5,64.8,Maize,123.2,11.1,IMG-2054
SEN-1055,2025-02-25,74.53,5.17,33.9,38.4,Beans,45.7,6.8,IMG-2055
SEN-1056,2025-02-26,16.19,4.63,27.4,56.6,Wheat,97.9,23.6,IMG-2056
SEN-1057,2025-02-27,23.72,6.15,23.2,67.6,Wheat,83.1,22.8,IMG-2057
SEN-1058,2025-02-28,13.17,6.48,24.7,59.3,Maize,125.7,10.9,IMG-2058
SEN-1059,2025-03-01,32.77,4.73,25.6,54.1,Wheat,116.9,23.7,IMG-2059
SEN-1060,2025-03-02,37.21,7.21,28.2,89.6,Wheat,112.8,27.9,IMG-2060
SEN-1061,2025-03-03,28.99,6.09,26.8,82.8,Wheat,70.9,7.7,IMG-2061
SEN-1062,2025-03-04,68.01,6.34,33.6,67.4,Beans,126.6,10.8,IMG-2062
SEN-1063,2025-03-05,34.97,6.04,26.4,64.2,Maize,36.3,23.8,IMG-2063
SEN-1064,2025-03-06,29.67,5.9,34.9,67.2,Wheat,49.2,11.9,IMG-2064
SEN-1065,2025-03-07,47.99,6.46,32.5,42.1,Wheat,70.3,20.6,IMG-2065
SEN-1066,2025-03-08,19.86,5.04,21.5,53.7,Beans,39.2,7.0,IMG-2066
SEN-1067,2025-03-09,66.15,5.14,33.8,32.4,Maize,58.2,16.3,IMG-2067
SEN-1068,2025-03-10,15.22,7.52,20.0,58.5,Tomatoes,129.6,23.5,IMG-2068
SEN-1069,2025-03-11,79.08,7.81,31.9,62.6,Beans,143.8,22.2,IMG-2069
SEN-1070,2025-03-12,64.06,5.81,24.5,43.7,Maize,66.6,25.4,IMG-2070
SEN-1071,2025-03-13,23.91,5.45,32.9,87.8,Wheat,61.7,26.9,IMG-2071
SEN-1072,2025-03-14,10.39,6.75,32.8,84.6,Maize,63.6,24.3,IMG-2072
SEN-1073,2025-03-15,67.08,5.93,31.7,73.3,Maize,63.3,21.8,IMG-2073
SEN-1074,2025-03-16,59.48,4.59,31.4,62.0,Maize,34.3,5.8,IMG-2074
SEN-1075,2025-03-17,61.03,5.05,23.2,82.2,Tomatoes,141.2,18.4,IMG-2075
SEN-1076,2025-03-18,63.99,7.01,19.4,37.8,Maize,55.6,5.9,IMG-2076
SEN-1077,2025-03-19,15.18,6.81,24.9,77.4,Tomatoes,80.4,25.2,IMG-2077
SEN-1078,2025-03-20,35.09,4.59,20.9,37.5,Wheat,31.2,13.0,IMG-2078
SEN-1079,2025-03-21,18.11,5.28,29.8,77.7,Tomatoes,133.0,19.1,IMG-2079
SEN-1080,2025-03-22,70.42,5.31,23.9,46.5,Wheat,117.7,12.0,IMG-2080
SEN-1081,2025-03-23,53.63,6.85,34.6,82.6,Wheat,143.6,24.6,IMG-2081
SEN-1082,2025-03-24,33.16,4.57,28.9,86.6,Tomatoes,123.8,27.2,IMG-2082
SEN-1083,2025-03-25,14.45,4.86,32.0,38.9,Beans,67.6,15.0,IMG-2083
SEN-1084,2025-03-26,31.77,7.3,20.3,57.8,Lettuce,59.7,26.6,IMG-2084
SEN-1085,2025-03-27,32.76,5.12,32.7,88.9,Maize,113.7,11.7,IMG-2085
SEN-1086,2025-03-28,61.07,6.78,33.7,59.0,Lettuce,73.7,18.4,IMG-2086
SEN-1087,2025-03-29,54.63,5.33,26.3,81.8,Maize,97.9,26.5,IMG-2087
SEN-1088,2025-03-30,72.1,4.85,28.3,65.3,Maize,30.8,13.1,IMG-2088
SEN-1089,2025-03-31,43.06,5.35,31.0,52.5,Wheat,37.4,28.9,IMG-2089
SEN-1090,2025-04-01,18.37,7.03,21.0,47.1,Maize,94.2,8.0,IMG-2090
SEN-1091,2025-04-02,59.93,7.49,26.5,42.2,Maize,97.9,5.5,IMG-2091
SEN-1092,2025-04-03,63.25,7.41,24.8,75.7,Tomatoes,120.2,27.6,IMG-2092
SEN-1093,2025-04-04,49.29,5.89,20.5,53.2,Lettuce,45.8,6.7,IMG-2093
SEN-1094,2025-04-05,63.97,6.84,24.2,60.7,Tomatoes,91.6,29.8,IMG-2094
SEN-1095,2025-04-06,44.57,5.22,19.2,59.5,Maize,53.3,28.8,IMG-2095
SEN-1096,2025-04-07,46.59,5.53,18.4,64.6,Wheat,41.2,8.4,IMG-2096
SEN-1097,2025-04-08,39.93,7.64,20.3,81.9,Tomatoes,79.3,18.4,IMG-2097
SEN-1098,2025-04-09,11.78,4.55,34.4,88.8,Tomatoes,49.6,9.6,IMG-2098
SEN-1099,2025-04-10,17.55,4.8,27.3,54.5,Beans,56.6,15.7,IMG-2099
SEN-1100,2025-04-11,12.2,5.23,34.4,79.7,Maize,68.1,6.5,IMG-2100
SEN-1101,2025-04-12,54.55,4.59,25.4,75.9,Wheat,61.1,10.6,IMG-2101
SEN-1102,2025-04-13,32.0,5.14,23.3,64.4,Tomatoes,40.5,14.1,IMG-2102
SEN-1103,2025-04-14,45.6,6.54,26.6,87.4,Tomatoes,40.8,16.0,IMG-2103
SEN-1104,2025-04-15,73.53,5.97,25.5,42.0,Wheat,53.2,29.4,IMG-2104
SEN-1105,2025-04-16,27.45,7.62,19.8,36.6,Maize,36.1,25.2,IMG-2105
SEN-1106,2025-04-17,38.73,7.36,28.9,81.2,Beans,105.2,23.4,IMG-2106
SEN-1107,2025-04-18,45.185,6.295,26.6,59.4,Tomatoes,86.3,17.4,IMG-2107
SEN-1108,2025-04-19,26.02,5.41,28.5,80.8,Beans,63.6,26.0,IMG-2108
SEN-1109,2025-04-20,15.39,5.83,29.1,83.6,Lettuce,69.8,13.5,IMG-2109
SEN-1110,2025-04-21,30.28,6.57,20.6,33.7,Maize,109.5,22.7,IMG-2110
SEN-1111,2025-04-22,21.29,5.44,19.0,83.0,Lettuce,134.5,29.8,IMG-2111
SEN-1112,2025-04-23,75.08,6.68,31.3,56.9,Wheat,121.1,12.9,IMG-2112
SEN-1113,2025-04-24,66.57,5.93,25.8,60.6,Lettuce,117.3,21.9,IMG-2113
SEN-1114,2025-04-25,54.34,6.43,19.0,67.6,Maize,88.1,26.1,IMG-2114
SEN-1115,2025-04-26,71.0,6.03,34.9,85.6,Maize,113.3,27.9,IMG-2115
SEN-1116,2025-04-27,66.26,5.53,19.0,31.1,Wheat,96.3,22.9,IMG-2116
SEN-1117,2025-04-28,23.06,7.82,29.8,58.6,Beans,56.0,12.1,IMG-2117
SEN-1118,2025-04-29,45.185,6.295,26.6,59.4,Beans,86.3,17.4,IMG-2118
SEN-1119,2025-04-30,47.75,4.99,22.1,73.4,Wheat,65.6,5.5,IMG-2119
SEN-1120,2025-05-01,66.52,7.54,20.4,71.6,Wheat,139.3,24.0,IMG-2120
SEN-1121,2025-05-02,72.73,6.21,20.1,38.1,Lettuce,95.7,6.1,IMG-2121
SEN-1122,2025-05-03,32.26,7.63,23.2,48.0,Wheat,118.1,26.6,IMG-2122
SEN-1123,2025-05-04,17.7,7.3,19.7,51.5,Tomatoes,71.6,8.0,IMG-2123
SEN-1124,2025-05-05,25.96,5.99,29.8,78.3,Beans,78.9,9.3,IMG-2124
SEN-1125,2025-05-06,39.9,4.58,19.1,46.7,Wheat,45.1,16.9,IMG-2125
SEN-1126,2025-05-07,67.26,5.44,26.7,42.6,Tomatoes,50.6,23.4,IMG-2126
SEN-1127,2025-05-08,70.25,6.4,34.9,87.4,Tomatoes,129.3,8.5,IMG-2127
SEN-1128,2025-05-09,10.49,6.72,31.8,30.5,Tomatoes,100.2,16.0,IMG-2128
SEN-1129,2025-05-10,45.75,5.4,28.5,89.9,Tomatoes,70.5,17.1,IMG-2129
SEN-1130,2025-05-11,39.22,4.99,23.2,70.6,Lettuce,126.3,10.3,IMG-2130
SEN-1131,2025-05-12,25.55,7.42,28.6,79.7,Tomatoes,59.6,7.9,IMG-2131
SEN-1132,2025-05-13,18.39,7.95,27.0,47.7,Lettuce,147.1,25.9,IMG-2132
SEN-1133,2025-05-14,33.63,6.34,25.2,30.9,Lettuce,71.4,17.6,IMG-2133
SEN-1134,2025-05-15,76.0,5.1,20.2,74.3,Tomatoes,70.5,5.4,IMG-2134
SEN-1135,2025-05-16,32.62,5.45,33.1,80.0,Beans,67.4,25.1,IMG-2135
SEN-1136,2025-05-17,46.32,4.56,25.6,74.4,Tomatoes,44.7,29.5,IMG-2136
SEN-1137,2025-05-18,59.21,7.7,21.3,38.6,Tomatoes,43.3,20.1,IMG-2137
SEN-1138,2025-05-19,35.45,4.91,24.3,75.2,Tomatoes,107.8,17.6,IMG-2138
SEN-1139,2025-05-20,78.02,6.52,25.0,76.1,Beans,135.0,27.0,IMG-2139
SEN-1140,2025-05-21,77.37,5.46,32.1,69.5,Maize,124.9,28.8,IMG-2140
SEN-1141,2025-05-22,27.62,6.44,30.5,76.0,Maize,46.9,23.9,IMG-2141
SEN-1142,2025-05-23,44.81,6.78,31.1,80.8,Lettuce,95.5,16.1,IMG-2142
SEN-1143,2025-05-24,31.06,7.4,18.2,66.8,Lettuce,42.7,19.8,IMG-2143
SEN-1144,2025-05-25,29.94,5.22,25.1,35.3,Beans,35.4,22.5,IMG-2144
SEN-1145,2025-05-26,12.58,4.54,26.2,59.3,Wheat,108.8,9.9,IMG-2145
SEN-1146,2025-05-27,52.67,4.98,18.3,34.7,Maize,94.2,16.2,IMG-2146
SEN-1147,2025-05-28,45.19,7.65,22.4,54.5,Lettuce,39.8,25.7,IMG-2147
SEN-1148,2025-05-29,13.6,7.56,30.9,54.4,Maize,34.2,21.4,IMG-2148
SEN-1149,2025-05-30,29.51,6.59,20.3,34.0,Beans,148.8,15.3,IMG-2149
SEN-1150,2025-05-31,73.58,6.6,27.1,50.9,Beans,33.6,21.6,IMG-2150
SEN-1151,2025-06-01,26.77,6.83,21.7,36.7,Wheat,83.3,8.0,IMG-2151
SEN-1152,2025-06-02,20.14,5.11,18.2,78.5,Wheat,90.6,15.0,IMG-2152
SEN-1153,2025-06-03,44.26,7.7,22.1,86.9,Beans,44.1,24.8,IMG-2153
